"","X1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"74",2389,"330193","Flushing Hospital Medical Center","45th Avenue And Parsons Boulevard","Flushing","NY",11355,"Queens","(718) 670-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.815645,40.755636,"medicare","Y"
"75",2407,"70039","Masonicare Health Center","22 Masonic Ave","Wallingford","CT",6492,"New Haven","(203) 679-5900","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Not Available",16,"Same as the national average",NA,NA,16,"Not Available",16,-72.836586,41.460698,"medicare","Y"
"76",2412,"330350","University Hospital Of Brooklyn ( Downstate )","445 Lenox Road","Brooklyn","NY",11203,"Kings","(718) 270-1000","Acute Care Hospitals","Government - State",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.94516,40.654457,"medicare","Y"
"77",2462,"330104","Nyack Hospital","160 North Midland Avenue","Nyack","NY",10960,"Rockland","(845) 348-2000","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"2",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.925253,41.095251,"medicare","Y"
"78",2565,"330240","Harlem Hospital Center","506 Lenox Avenue","New York","NY",10037,"New York","(212) 939-1000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",16,-73.940495,40.814482,"medicare","Y"
"79",2581,"310113","Southern Ocean Medical Center","1140 Rt 72 W","Manahawkin","NJ",8050,"Ocean","(609) 597-6011","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.287136,39.721499,"medicare","Y"
"80",2596,"330259","Mercy Medical Center","1000 North Village Avenue","Rockville Centre","NY",11570,"Nassau","(516) 705-2525","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.633236,40.688191,"medicare","Y"
"81",2600,"330401","St Catherine Of Siena Hospital","50 Route 25a","Smithtown","NY",11787,"Suffolk","(631) 862-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.220142,40.867592,"medicare","Y"
"82",2626,"330286","Good Samaritan Hospital Medical Center","1000 Montauk Highway","West Islip","NY",11795,"Suffolk","(631) 376-3000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,NA,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.286321,40.696807,"medicare","Y"
"83",2649,"330027","Nassau University Medical Center","2201 Hempstead Turnpike","East Meadow","NY",11554,"Nassau","(516) 572-0123","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.554413,40.725298,"medicare","Y"
"84",2668,"330101","New York-Presbyterian Hospital-New York Weill Corn","525 East 68th Street","New York","NY",10065,"New York","(212) 746-5454","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-73.954335,40.76415,"medicare","Y"
"85",2676,"310084","Monmouth Medical Center-Southern Campus","600 River Ave","Lakewood","NJ",8701,"Ocean","(732) 363-1900","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.21735,40.074178,"medicare","Y"
"86",2682,"334013","Pilgrim Psychiatric Center","998 Crooked Hill Road","West Brentwood","NY",11717,"Suffolk","(631) 761-3500","Psychiatric","Government - State",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.286926,40.80409,"medicare","Y"
"87",2729,"314001","Summit Oaks Hospital","19 Prospect St","Summit","NJ",7901,"Union","(908) 522-7027","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.361132,40.714446,"medicare","Y"
"88",2734,"310118","Hudson Regional Hospital","55 Meadowlands Pkwy","Secaucus","NJ",7094,"Hudson","(201) 392-3200","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-74.072099,40.791805,"medicare","Y"
"89",2739,"330393","Stony Brook University Hospital","Health Sciences Center Suny","Stony Brook","NY",11794,"Suffolk","(631) 444-4000","Acute Care Hospitals","Government - State",TRUE,TRUE,"4",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"90",2830,"310005","Hunterdon Medical Center","2100 Wescott Drive","Flemington","NJ",8822,"Hunterdon","(908) 788-6100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"4",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.86041,40.532524,"medicare","Y"
"91",2864,"310111","Centrastate Medical Center","901 West Main Street","Freehold","NJ",7728,"Monmouth","(732) 431-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-74.312025,40.23566,"medicare","Y"
"92",2870,"70016","Saint Mary's Hospital","56 Franklin Steet","Waterbury","CT",6706,"New Haven","(203) 709-6020","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"93",2939,"70038","Connecticut Hospice Inc,The","100 Double Beach Road","Branford","CT",6405,"New Haven","(203) 315-7500","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,NA,16,NA,16,"Not Available",16,-72.833367,41.256305,"medicare","Y"
"94",2948,"314016","Greystone Park Psych Hosp","59 Koch Avenue","Greystone Park","NJ",7950,"Morris","(973) 538-1800","Psychiatric","Government - State",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,NA,NA,"medicare","Y"
"95",3013,"330233","Brookdale Hospital Medical Center","1 Brookdale Plaza","Brooklyn","NY",11212,"Kings","(718) 240-5966","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.91275,40.6545,"medicare","Y"
"96",3017,"330019","New York Community Hospital Of Brooklyn, Inc.","2525 Kings Highway","Brooklyn","NY",11229,"Kings","(718) 692-5302","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.948321,40.613783,"medicare","Y"
"97",3033,"70010","Bridgeport Hospital","267 Grant Street","Bridgeport","CT",6610,"Fairfield","(203) 384-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.16608,41.188776,"medicare","Y"
"98",3034,"310025","Carepoint Health - Bayonne Medical Center","29 East 29th St","Bayonne","NJ",7002,"Hudson","(201) 858-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.112371,40.667531,"medicare","Y"
"99",3048,"330397","Interfaith Medical Center","1545 Atlantic Avenue","Brooklyn","NY",11213,"Kings","(718) 613-4000","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.937154,40.677866,"medicare","Y"
"100",3135,"330088","Stony Brook Eastern Long Island Hospital","201 Manor Place","Greenport","NY",11944,"Suffolk","(631) 477-1000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-72.361459,41.110951,"medicare","Y"
"101",3136,"310075","Monmouth Medical Center","300 Second Avenue","Long Branch","NJ",7740,"Monmouth","(732) 222-5200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.983598,40.295448,"medicare","Y"
"102",3163,"330181","Glen Cove Hospital","101 St Andrews Lane","Glen Cove","NY",11542,"Nassau","(516) 674-7300","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"103",3171,"74012","Southwest Connecticut Mental Health","1635 Central Ave","Bridgeport","CT",6610,"Fairfield","(203) 551-7461","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.167534,41.189798,"medicare","Y"
"104",3201,"310052","Ocean Medical Center","425 Jack Martin Blvd","Brick","NJ",8724,"Ocean","(732) 840-2200","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.129748,40.078327,"medicare","Y"
"105",3221,"310092","Capital Health System-Fuld Campus","750 Brunswick Ave","Trenton","NJ",8638,"Mercer","(609) 394-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.752776,40.235987,"medicare","Y"
"106",3240,"70031","Griffin Hospital","130 Division St","Derby","CT",6418,"New Haven","(203) 732-7500","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.088689,41.335978,"medicare","Y"
"107",3256,"330046","Mount Sinai West","1000 Tenth Avenue","New York","NY",10019,"New York","(212) 523-4000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.987846,40.770129,"medicare","Y"
"108",3263,"330107","Peconic Bay Medical Center","1300 Roanoke Avenue","Riverhead","NY",11901,"Suffolk","(631) 548-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-72.674317,40.933577,"medicare","Y"
"109",3267,"310019","St Joseph's University Medical Center","703 Main St","Paterson","NJ",7503,"Passaic","(973) 754-2010","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-74.166751,40.902456,"medicare","Y"
"110",3401,"70005","Waterbury Hospital","64 Robbins St","Waterbury","CT",6721,"New Haven","(203) 573-6000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.058608,41.558269,"medicare","Y"
"111",3413,"330028","Richmond University Medical Center","355 Bard Avenue","Staten Island","NY",10310,"Richmond","(718) 818-1234","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.106693,40.63551,"medicare","Y"
"112",3450,"334027","South Oaks Hosp","400 Sunrise Highway","Amityville","NY",11701,"Suffolk","(516) 264-4000","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.423128,40.686843,"medicare","Y"
"113",3471,"330080","Lincoln Medical & Mental Health Center","234 East 149th Street","Bronx","NY",10451,"Bronx","(718) 579-5000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.924072,40.817681,"medicare","Y"
"114",3537,"310015","Morristown Medical Center","100 Madison Ave","Morristown","NJ",7960,"Morris","(973) 971-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-74.464855,40.787896,"medicare","Y"
"115",3619,"74014","Silver Hill Hospital Inc","208 Valley Road","New Canaan","CT",6840,"Fairfield","(203) 966-3561","Psychiatric","Government - Federal",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.468247,41.16524,"medicare","Y"
"116",3628,"310041","Community Medical Center","99 Rt 37 West","Toms River","NJ",8755,"Ocean","(732) 557-8000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"2",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.21449,39.965083,"medicare","Y"
"117",3650,"330332","St Joseph Hospital","4295 Hempstead Turnpike","Bethpage","NY",11714,"Nassau","(516) 579-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.478755,40.725795,"medicare","Y"
"118",3751,"310119","University Hospital","150 Bergen St","Newark","NJ",7101,"Essex","(973) 972-5658","Acute Care Hospitals","Government - State",TRUE,TRUE,"1",23,"Same as the national average",NA,"Below the national average",23,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-74.19213,40.74095,"medicare","Y"
"119",3765,"330246","St Charles Hospital","200 Belle Terre Road","Port Jefferson","NY",11777,"Suffolk","(631) 474-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.059832,40.947392,"medicare","Y"
"120",3790,"330196","Coney Island Hospital Center","2601 Ocean Parkway","Brooklyn","NY",11235,"Kings","(718) 616-3000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.966285,40.58494,"medicare","Y"
"121",3797,"330158","Good Samaritan Hospital Of Suffern","255 Lafayette Avenue","Suffern","NY",10901,"Rockland","(845) 368-5000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.136248,41.112389,"medicare","Y"
"122",3805,"310058","Bergen New Bridge Medical Center","230 East Ridgewood Ave","Paramus","NJ",7652,"Bergen","(201) 967-4000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Not Available",16,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-74.062151,40.958602,"medicare","Y"
"123",3841,"330224","Healthalliance Hospital Marys Avenue Campus","105 Mary's Avenue","Kingston","NY",12401,"Ulster","(845) 338-2500","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"Not Available",16,"Not Available",16,"Above the national average",NA,"Not Available",5,"Same as the national average",NA,NA,5,NA,16,"Not Available",16,-73.999335,41.922453,"medicare","Y"
"124",3879,"334060","Kirby Forensic Psychiatric Center","Ward Island","New York","NY",10035,"New York","(212) 427-9003","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,NA,NA,"medicare","Y"
"125",3913,"310009","Clara Maass Medical Center","One Clara Maass Drive","Belleville","NJ",7109,"Essex","(973) 450-2002","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"126",3970,"334048","Gracie Square Hosp","420 East 76 St","New York","NY",10021,"New York","(212) 434-5322","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.952866,40.76987,"medicare","Y"
"127",4107,"310006","St Mary's General Hospital","350 Boulevard","Passaic","NJ",7055,"Passaic","(973) 365-4300","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-74.13721,40.85828,"medicare","Y"
"128",4133,"330023","Vassar Brothers Medical Center","45 Reade Place","Poughkeepsie","NY",12601,"Dutchess","(845) 454-8500","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-73.935723,41.694567,"medicare","Y"
"129",4159,"330399","St Barnabas Hospital","4422 Third Avenue","Bronx","NY",10457,"Bronx","(212) 960-9000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.892168,40.85277,"medicare","Y"
"130",4166,"330055","New York-Presbyterian/Queens","56-45 Main Street","Flushing","NY",11355,"Queens","(718) 670-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"131",4222,"310076","Saint Barnabas Medical Center","94 Old Short Hills Road","Livingston","NJ",7039,"Essex","(973) 322-5000","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,NA,"3",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.302334,40.764045,"medicare","Y"
"132",4306,"334015","Rockland Psych Ctr","140 Old Orangeburg Rd","Orangeburg","NY",10962,"Rockland","(845) 359-1000","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.969781,41.044479,"medicare","Y"
"133",4318,"310054","Hackensack-Umc Mountainside","Bay And Highland Ave","Montclair","NJ",7042,"Essex","(973) 429-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"134",4342,"310027","Trinitas Regional Medical Center","225 Williamson Street","Elizabeth","NJ",7207,"Union","(908) 994-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.214355,40.65892,"medicare","Y"
"135",4428,"334063","Kingsboro Psychiatric Hospital","681 Clarkson Avenue","Brooklyn","NY",11203,"Kings","(718) 221-7395","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.936177,40.656266,"medicare","Y"
"136",4432,"330182","St Francis Hospital, Roslyn","100 Port Washington Boulevard","Roslyn","NY",11576,"Nassau","(516) 562-6000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,NA,"5",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.672669,40.804505,"medicare","Y"
"137",4458,"330204","Bellevue Hospital Center","462 First Avenue","New York","NY",10016,"New York","(212) 562-4141","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.97625,40.740079,"medicare","Y"
"138",4488,"70006","Stamford Hospital","One Hospital Plaza","Stamford","CT",6904,"Fairfield","(203) 276-1000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"139",4530,"334026","Brunswick Psych Center","366 Broadway","Amityville","NY",11701,"Suffolk","(516) 789-7000","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.418446,40.684765,"medicare","Y"
"140",4660,"70033","Danbury Hospital","24 Hospital Ave","Danbury","CT",6810,"Fairfield","(203) 739-7000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.444339,41.406776,"medicare","Y"
"141",4721,"330201","Kingsbrook Jewish Medical Center","585 Schenectady Avenue","Brooklyn","NY",11203,"Kings","(718) 604-5789","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",23,"Same as the national average",23,"Below the national average",NA,"Below the national average",23,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.934072,40.658929,"medicare","Y"
"142",4722,"330405","Helen Hayes Hospital","51 North Route 9w","West Haverstraw","NY",10993,"Rockland","(845) 786-4000","Acute Care Hospitals","Government - Local",FALSE,NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,NA,16,NA,16,"Not Available",16,-73.985768,41.212779,"medicare","Y"
"143",4791,"334064","Sagamore Children's Psychiatric Center","197 Half  Hollow Road","Dix Hills","NY",11746,"Suffolk","(631) 370-1701","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.382467,40.792705,"medicare","Y"
"144",4798,"70019","Milford Hospital, Inc","300 Seaside Avenue","Milford","CT",6460,"New Haven","(203) 876-4000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.064332,41.217141,"medicare","Y"
"145",4825,"330045","Huntington Hospital","270 Park Avenue","Huntington","NY",11743,"Suffolk","(631) 351-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.417488,40.879201,"medicare","Y"
"146",4854,"70034","Norwalk Hospital","24 Stevens Street","Norwalk","CT",6856,"Fairfield","(203) 852-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.421229,41.110415,"medicare","Y"
"147",4879,"330331","Plainview Hospital","888 Old Country Road","Plainview","NY",11803,"Nassau","(516) 719-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.478063,40.774456,"medicare","Y"
