"Table with row headers in columns A and B, column headers in rows 4 and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table HIC-4_ACS. Health Insurance Coverage Status and Type of Coverage by State All People: 2008 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Numbers in thousands. Civilian noninstitutionalized population. Margins of error calculated using replicate weights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation/State,Coverage,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,
,..TRICARE,46,5,1.3,0.2,46,5,1.3,0.1,46,4,1.3,0.1,43,4,1.2,0.1,47,4,1.3,0.1,51,6,1.4,0.2,46,4,1.3,0.1,45,4,1.3,0.1,44,4,1.2,0.1,38,3,1.1,0.1,41,4,1.2,0.1
,Public,"1,261",20,35.8,0.6,"1,243",21,35.2,0.6,"1,234",18,35.0,0.5,"1,185",16,33.5,0.5,"1,174",16,33.2,0.5,"1,103",18,31.2,0.5,"1,076",16,30.4,0.4,"1,039",16,29.5,0.4,998,17,28.4,0.5,913,15,26.4,0.5,863,17,25.1,0.5
,..Medicaid,725,19,20.6,0.6,724,21,20.5,0.6,724,18,20.5,0.5,693,15,19.6,0.4,680,16,19.2,0.5,611,18,17.3,0.5,601,17,17.0,0.5,575,16,16.3,0.5,531,17,15.1,0.5,469,16,13.6,0.5,434,17,12.6,0.5
,..Medicare,634,6,18.0,0.2,628,6,17.8,0.2,605,5,17.2,0.1,589,6,16.7,0.2,580,5,16.4,0.1,574,6,16.2,0.2,557,5,15.8,0.1,543,4,15.4,0.1,534,6,15.2,0.2,505,6,14.6,0.2,497,5,14.5,0.2
,..VA Care,57,4,1.6,0.1,53,3,1.5,0.1,54,3,1.5,0.1,54,4,1.5,0.1,58,3,1.6,0.1,60,4,1.7,0.1,63,3,1.8,0.1,59,3,1.7,0.1,59,4,1.7,0.1,57,4,1.7,0.1,62,4,1.8,0.1
DELAWARE,Total,952,1,100.0,Z,N,N,N,N,938,1,100.0,Z,931,1,100.0,Z,921,1,100.0,Z,912,1,100.0,Z,903,1,100.0,Z,892,1,100.0,Z,885,1,100.0,Z,869,1,100.0,Z,856,2,100.0,Z
,Any coverage,898,6,94.3,0.7,N,N,N,N,885,5,94.3,0.5,877,6,94.1,0.6,849,6,92.2,0.7,828,6,90.9,0.7,823,6,91.2,0.7,808,6,90.6,0.7,799,7,90.3,0.8,780,6,89.8,0.7,771,7,90.0,0.7
,Uninsured,54,6,5.7,0.7,N,N,N,N,53,5,5.7,0.5,54,6,5.9,0.6,72,6,7.8,0.7,83,6,9.1,0.7,80,6,8.8,0.7,84,6,9.4,0.7,86,7,9.7,0.8,89,6,10.2,0.7,85,6,10.0,0.7
,Private,673,11,70.6,1.1,N,N,N,N,670,9,71.4,1.0,664,10,71.3,1.1,655,10,71.1,1.1,637,11,69.9,1.2,636,10,70.5,1.1,628,11,70.3,1.2,627,11,70.9,1.3,630,10,72.4,1.1,641,11,74.8,1.2
,..Employer-based,568,11,59.7,1.1,N,N,N,N,566,11,60.3,1.2,564,12,60.5,1.2,563,9,61.1,1.0,554,12,60.7,1.3,558,10,61.8,1.1,555,11,62.3,1.2,548,11,61.9,1.3,559,10,64.3,1.1,567,10,66.2,1.2
,..Direct-purchase,126,7,13.2,0.7,N,N,N,N,120,7,12.8,0.7,107,5,11.5,0.6,102,5,11.1,0.6,98,6,10.8,0.6,96,5,10.6,0.6,101,6,11.3,0.7,105,6,11.9,0.7,94,6,10.9,0.7,115,7,13.4,0.8
,..TRICARE,27,4,2.8,0.4,N,N,N,N,29,4,3.1,0.4,34,4,3.6,0.4,36,4,3.9,0.4,32,4,3.5,0.4,30,4,3.3,0.4,29,3,3.2,0.4,30,4,3.4,0.4,29,3,3.4,0.4,29,4,3.4,0.4
,Public,379,9,39.8,1.0,N,N,N,N,348,9,37.1,1.0,348,9,37.4,1.0,327,9,35.5,0.9,325,9,35.6,1.0,318,9,35.2,1.0,302,9,33.9,1.0,293,11,33.1,1.2,269,9,31.0,1.0,248,8,28.9,1.0
,..Medicaid,204,9,21.4,0.9,N,N,N,N,190,9,20.3,1.0,192,9,20.6,1.0,174,8,18.9,0.9,180,9,19.8,1.0,181,9,20.1,1.0,172,9,19.3,1.1,165,10,18.6,1.2,148,9,17.0,1.0,133,9,15.5,1.0
,..Medicare,198,3,20.8,0.3,N,N,N,N,181,3,19.3,0.4,179,3,19.2,0.4,171,3,18.6,0.3,167,3,18.4,0.4,158,3,17.5,0.3,151,3,16.9,0.3,146,3,16.5,0.3,140,3,16.1,0.3,136,2,15.9,0.3
,..VA Care,19,2,2.0,0.2,N,N,N,N,17,2,1.8,0.2,18,2,1.9,0.2,18,2,2.0,0.2,16,2,1.7,0.2,16,2,1.7,0.2,16,2,1.8,0.2,16,2,1.8,0.2,17,2,2.0,0.2,19,2,2.2,0.2
DISTRICT OF COLUMBIA,Total,693,1,100.0,Z,684,1,100.0,Z,671,1,100.0,Z,661,1,100.0,Z,648,1,100.0,Z,636,1,100.0,Z,621,1,100.0,Z,608,Z,100.0,Z,594,Z,100.0,Z,589,1,100.0,Z,580,1,100.0,Z
,Any coverage,671,3,96.8,0.5,658,4,96.2,0.6,645,4,96.1,0.6,636,4,96.2,0.6,614,4,94.7,0.7,594,4,93.3,0.6,585,4,94.1,0.5,566,5,93.1,0.8,549,4,92.4,0.7,548,4,93.0,0.7,536,4,92.4,0.6
,Uninsured,22,3,3.2,0.5,26,4,3.8,0.6,26,4,3.9,0.6,25,4,3.8,0.6,34,4,5.3,0.7,42,4,6.7,0.6,37,3,5.9,0.5,42,5,6.9,0.8,45,4,7.6,0.7,41,4,7.0,0.7,44,4,7.6,0.6
,Private,488,9,70.4,1.3,479,8,70.1,1.2,459,8,68.4,1.3,466,8,70.5,1.2,440,8,68.0,1.2,438,7,68.8,1.1,432,9,69.5,1.4,430,8,70.7,1.3,415,8,69.8,1.3,400,9,67.9,1.4,406,7,69.9,1.1
,..Employer-based,411,9,59.3,1.3,398,10,58.2,1.5,384,9,57.3,1.4,388,8,58.7,1.2,370,9,57.0,1.4,379,7,59.6,1.1,373,9,60.0,1.4,380,8,62.4,1.4,362,8,60.9,1.3,345,8,58.6,1.3,353,7,60.9,1.2
,..Direct-purchase,92,6,13.3,0.8,105,7,15.4,1.1,85,5,12.6,0.7,94,6,14.2,0.9,84,5,13.0,0.8,74,5,11.6,0.8,86,6,13.9,1.0,89,7,14.7,1.1,116,7,19.4,1.2,102,8,17.4,1.3,93,6,16.0,1.1
,..TRICARE,13,2,1.8,0.3,15,3,2.3,0.5,14,2,2.0,0.3,11,3,1.7,0.4,13,2,2.0,0.4,10,2,1.5,0.3,13,2,2.1,0.4,10,2,1.6,0.3,9,2,1.5,0.3,8,2,1.3,0.3,8,2,1.3,0.3
,Public,248,9,35.8,1.4,247,7,36.1,1.1,249,8,37.1,1.2,231,7,35.0,1.1,236,8,36.5,1.3,225,8,35.3,1.3,222,6,35.7,1.0,208,7,34.2,1.2,208,7,34.9,1.2,210,7,35.7,1.3,191,7,32.9,1.2
,..Medicaid,185,10,26.7,1.4,185,8,27.0,1.1,190,9,28.3,1.3,171,7,25.9,1.1,181,8,27.9,1.2,167,8,26.3,1.2,166,6,26.7,1.0,155,7,25.5,1.2,151,7,25.4,1.2,156,8,26.5,1.3,139,7,24.0,1.2
,..Medicare,92,4,13.3,0.6,93,3,13.6,0.4,86,2,12.8,0.3,83,2,12.5,0.3,78,3,12.0,0.4,80,2,12.6,0.3,77,2,12.4,0.3,72,2,11.8,0.4,74,2,12.5,0.4,72,2,12.3,0.4,69,3,11.9,0.5
,..VA Care,8,1,1.1,0.2,10,2,1.4,0.2,11,2,1.7,0.3,9,1,1.4,0.2,11,2,1.7,0.2,10,1,1.5,0.2,11,1,1.7,0.2,9,1,1.4,0.2,9,2,1.6,0.3,9,2,1.6,0.3,9,1,1.6,0.2
FLORIDA,Total,"20,996",3,100.0,Z,"20,679",3,100.0,Z,"20,294",4,100.0,Z,"19,960",4,100.0,Z,"19,583",3,100.0,Z,"19,245",4,100.0,Z,"19,011",4,100.0,Z,"18,752",4,100.0,Z,"18,534",4,100.0,Z,"18,193",4,100.0,Z,"17,996",4,100.0,Z
,Any coverage,"18,268",41,87.0,0.2,"18,003",43,87.1,0.2,"17,750",47,87.5,0.2,"17,299",41,86.7,0.2,"16,338",43,83.4,0.2,"15,392",44,80.0,0.2,"15,195",36,79.9,0.2,"14,841",46,79.1,0.2,"14,593",51,78.7,0.3,"14,397",45,79.1,0.2,"14,356",42,79.8,0.2
,Uninsured,"2,728",40,13.0,0.2,"2,676",43,12.9,0.2,"2,544",47,12.5,0.2,"2,662",40,13.3,0.2,"3,245",43,16.6,0.2,"3,853",43,20.0,0.2,"3,816",36,20.1,0.2,"3,911",47,20.9,0.2,"3,941",50,21.3,0.3,"3,795",45,20.9,0.2,"3,639",41,20.2,0.2
,Private,"13,070",62,62.3,0.3,"12,835",61,62.1,0.3,"12,663",61,62.4,0.3,"12,337",53,61.8,0.3,"11,562",58,59.0,0.3,"10,935",55,56.8,0.3,"10,872",55,57.2,0.3,"10,810",64,57.6,0.3,"10,888",63,58.7,0.3,"11,065",52,60.8,0.3,"11,476",50,63.8,0.3
,..Employer-based,"9,548",65,45.5,0.3,"9,310",61,45.0,0.3,"9,107",55,44.9,0.3,"8,847",54,44.3,0.3,"8,594",55,43.9,0.3,"8,414",58,43.7,0.3,"8,531",55,44.9,0.3,"8,522",69,45.4,0.4,"8,483",52,45.8,0.3,"8,697",49,47.8,0.3,"9,115",56,50.7,0.3
,..Direct-purchase,"3,570",40,17.0,0.2,"3,540",40,17.1,0.2,"3,567",40,17.6,0.2,"3,439",35,17.2,0.2,"2,897",32,14.8,0.2,"2,473",35,12.8,0.2,"2,479",30,13.0,0.2,"2,445",38,13.0,0.2,"2,597",38,14.0,0.2,"2,657",34,14.6,0.2,"2,832",32,15.7,0.2
,..TRICARE,725,23,3.5,0.1,749,21,3.6,0.1,716,17,3.5,0.1,716,21,3.6,0.1,698,20,3.6,0.1,688,21,3.6,0.1,662,18,3.5,0.1,653,24,3.5,0.1,650,17,3.5,0.1,627,18,3.4,0.1,633,17,3.5,0.1
,Public,"7,790",49,37.1,0.2,"7,710",43,37.3,0.2,"7,629",48,37.6,0.2,"7,439",41,37.3,0.2,"7,105",43,36.3,0.2,"6,733",46,35.0,0.2,"6,576",47,34.6,0.2,"6,243",44,33.3,0.2,"5,974",37,32.2,0.2,"5,646",41,31.0,0.2,"5,243",36,29.1,0.2
,..Medicaid,"3,829",48,18.2,0.2,"3,850",41,18.6,0.2,"3,858",48,19.0,0.2,"3,794",40,19.0,0.2,"3,575",47,18.3,0.2,"3,344",48,17.4,0.2,"3,300",43,17.4,0.2,"3,098",40,16.5,0.2,"2,882",37,15.5,0.2,"2,668",37,14.7,0.2,"2,301",37,12.8,0.2
,..Medicare,"4,632",17,22.1,0.1,"4,494",16,21.7,0.1,"4,380",16,21.6,0.1,"4,232",15,21.2,0.1,"4,084",15,20.9,0.1,"3,923",17,20.4,0.1,"3,793",15,19.9,0.1,"3,638",17,19.4,0.1,"3,527",14,19.0,0.1,"3,417",17,18.8,0.1,"3,390",15,18.8,0.1
,..VA Care,633,12,3.0,0.1,628,14,3.0,0.1,610,14,3.0,0.1,601,13,3.0,0.1,571,12,2.9,0.1,547,13,2.8,0.1,573,13,3.0,0.1,545,14,2.9,0.1,540,12,2.9,0.1,536,9,2.9,0.1,533,11,3.0,0.1
GEORGIA,Total,"10,335",3,100.0,Z,"10,242",3,100.0,Z,"10,121",4,100.0,Z,"10,024",4,100.0,Z,"9,907",3,100.0,Z,"9,801",4,100.0,Z,"9,719",4,100.0,Z,"9,620",4,100.0,Z,"9,520",3,100.0,Z,"9,594",7,100.0,Z,"9,472",3,100.0,Z
,Any coverage,"8,924",29,86.3,0.3,"8,866",29,86.6,0.3,"8,811",30,87.1,0.3,"8,636",26,86.1,0.3,"8,338",28,84.2,0.3,"7,955",29,81.2,0.3,"7,927",29,81.6,0.3,"7,737",37,80.4,0.4,"7,644",35,80.3,0.4,"7,758",29,80.9,0.3,"7,748",31,81.8,0.3
,Uninsured,"1,411",29,13.7,0.3,"1,375",29,13.4,0.3,"1,310",30,12.9,0.3,"1,388",26,13.9,0.3,"1,568",28,15.8,0.3,"1,846",30,18.8,0.3,"1,792",30,18.4,0.3,"1,883",37,19.6,0.4,"1,876",35,19.7,0.4,"1,836",28,19.1,0.3,"1,725",30,18.2,0.3
,Private,"6,796",41,65.8,0.4,"6,774",46,66.1,0.5,"6,710",40,66.3,0.4,"6,543",46,65.3,0.5,"6,262",47,63.2,0.5,"6,029",40,61.5,0.4,"6,024",39,62.0,0.4,"5,934",46,61.7,0.5,"5,929",43,62.3,0.5,"6,136",42,64.0,0.4,"6,232",39,65.8,0.4
,..Employer-based,"5,575",40,53.9,0.4,"5,497",44,53.7,0.4,"5,338",42,52.7,0.4,"5,240",44,52.3,0.4,"5,127",49,51.8,0.5,"4,998",39,51.0,0.4,"5,058",39,52.0,0.4,"4,965",48,51.6,0.5,"4,948",42,52.0,0.4,"5,169",40,53.9,0.4,"5,235",39,55.3,0.4
,..Direct-purchase,"1,229",25,11.9,0.2,"1,275",28,12.4,0.3,"1,369",28,13.5,0.3,"1,284",25,12.8,0.3,"1,084",22,10.9,0.2,995,22,10.2,0.2,"1,018",21,10.5,0.2,"1,010",27,10.5,0.3,"1,067",23,11.2,0.2,"1,115",26,11.6,0.3,"1,175",25,12.4,0.3
,..TRICARE,407,17,3.9,0.2,416,16,4.1,0.2,410,15,4.0,0.1,391,17,3.9,0.2,401,15,4.0,0.2,399,16,4.1,0.2,407,15,4.2,0.1,395,18,4.1,0.2,367,13,3.9,0.1,348,13,3.6,0.1,361,14,3.8,0.2
,Public,"3,220",31,31.2,0.3,"3,146",32,30.7,0.3,"3,170",31,31.3,0.3,"3,096",30,30.9,0.3,"3,013",30,30.4,0.3,"2,856",28,29.1,0.3,"2,799",26,28.8,0.3,"2,668",33,27.7,0.3,"2,572",28,27.0,0.3,"2,481",22,25.9,0.2,"2,376",23,25.1,0.2
,..Medicaid,"1,799",31,17.4,0.3,"1,780",31,17.4,0.3,"1,818",31,18.0,0.3,"1,805",27,18.0,0.3,"1,771",30,17.9,0.3,"1,671",25,17.0,0.3,"1,676",25,17.2,0.3,"1,581",32,16.4,0.3,"1,529",26,16.1,0.3,"1,469",23,15.3,0.2,"1,415",22,14.9,0.2
,..Medicare,"1,644",11,15.9,0.1,"1,591",13,15.5,0.1,"1,557",11,15.4,0.1,"1,484",11,14.8,0.1,"1,450",10,14.6,0.1,"1,370",12,14.0,0.1,"1,326",11,13.6,0.1,"1,256",11,13.1,0.1,"1,207",11,12.7,0.1,"1,172",10,12.2,0.1,"1,138",11,12.0,0.1
,..VA Care,262,9,2.5,0.1,241,10,2.4,0.1,256,8,2.5,0.1,226,7,2.3,0.1,220,8,2.2,0.1,213,8,2.2,0.1,204,7,2.1,0.1,200,9,2.1,0.1,185,7,1.9,0.1,182,6,1.9,0.1,170,7,1.8,0.1
HAWAII,Total,"1,369",3,100.0,Z,"1,373",2,100.0,Z,"1,379",3,100.0,Z,"1,375",3,100.0,Z,"1,368",2,100.0,Z,"1,345",3,100.0,Z,"1,342",2,100.0,Z,"1,326",2,100.0,Z,"1,316",2,100.0,Z,"1,232",5,100.0,Z,"1,237",3,100.0,Z
,Any coverage,"1,313",6,95.9,0.4,"1,320",5,96.2,0.4,"1,330",6,96.5,0.4,"1,321",5,96.0,0.3,"1,296",6,94.7,0.4,"1,254",6,93.3,0.4,"1,249",6,93.1,0.4,"1,232",7,92.9,0.5,"1,212",7,92.1,0.5,"1,146",8,93.0,0.5,"1,156",7,93.5,0.5
,Uninsured,56,5,4.1,0.4,53,5,3.8,0.4,49,5,3.5,0.4,55,4,4.0,0.3,72,5,5.3,0.4,91,6,6.7,0.4,92,6,6.9,0.4,94,6,7.1,0.5,104,6,7.9,0.5,86,6,7.0,0.5,80,6,6.5,0.5
,Private,"1,045",11,76.3,0.8,"1,057",13,77.0,0.9,"1,065",10,77.2,0.7,"1,051",10,76.5,0.7,"1,031",12,75.4,0.9,"1,017",11,75.6,0.8,"1,012",11,75.5,0.8,"1,003",13,75.7,0.9,"1,004",12,76.3,0.9,971,11,78.8,0.8,"1,013",10,81.9,0.8
,..Employer-based,861,14,62.9,1.0,870,15,63.3,1.0,879,12,63.8,0.9,867,12,63.1,0.9,854,12,62.5,0.9,831,12,61.8,0.9,824,11,61.4,0.8,833,14,62.8,1.0,836,13,63.5,0.9,808,12,65.6,0.9,853,14,69.0,1.1
,..Direct-purchase,167,7,12.2,0.5,167,8,12.2,0.6,169,8,12.2,0.6,160,7,11.7,0.5,148,7,10.8,0.5,150,8,11.2,0.6,176,9,13.1,0.6,198,10,14.9,0.7,224,11,17.0,0.8,192,9,15.6,0.7,225,13,18.2,1.0
,..TRICARE,125,7,9.2,0.5,124,7,9.0,0.5,125,7,9.1,0.5,123,8,9.0,0.6,129,7,9.4,0.5,131,8,9.7,0.6,126,7,9.4,0.5,118,7,8.9,0.6,100,6,7.6,0.5,105,7,8.6,0.6,100,7,8.1,0.6
,Public,482,10,35.2,0.7,483,10,35.2,0.7,469,10,34.1,0.7,461,9,33.5,0.7,455,9,33.3,0.7,424,9,31.5,0.6,417,9,31.1,0.7,400,11,30.2,0.8,388,11,29.5,0.8,352,11,28.5,0.9,323,8,26.1,0.6
,..Medicaid,242,9,17.7,0.7,245,10,17.9,0.7,244,10,17.7,0.7,245,9,17.8,0.7,241,10,17.6,0.8,221,9,16.4,0.7,223,9,16.6,0.7,216,11,16.3,0.9,205,11,15.6,0.8,180,11,14.6,0.9,152,8,12.3,0.7
,..Medicare,264,3,19.3,0.2,255,3,18.6,0.2,247,3,17.9,0.3,240,3,17.4,0.2,234,3,17.1,0.2,228,3,16.9,0.2,215,3,16.0,0.3,211,3,15.9,0.2,207,3,15.7,0.3,191,4,15.5,0.3,198,4,16.0,0.3
,..VA Care,38,3,2.8,0.2,37,3,2.7,0.2,34,3,2.5,0.2,31,3,2.3,0.2,32,3,2.3,0.2,30,3,2.2,0.2,26,2,1.9,0.2,23,2,1.7,0.2,26,2,2.0,0.2,25,3,2.0,0.2,23,2,1.8,0.2
IDAHO,Total,"1,733",1,100.0,Z,"1,695",1,100.0,Z,"1,663",1,100.0,Z,"1,632",2,100.0,Z,"1,613",1,100.0,Z,"1,592",1,100.0,Z,"1,576",1,100.0,Z,"1,566",1,100.0,Z,"1,552",1,100.0,Z,"1,521",1,100.0,Z,"1,499",1,100.0,Z
,Any coverage,"1,541",11,88.9,0.6,"1,523",9,89.9,0.5,"1,495",9,89.9,0.5,"1,452",10,89.0,0.6,"1,394",11,86.4,0.7,"1,335",12,83.8,0.8,"1,321",9,83.8,0.6,"1,307",11,83.5,0.7,"1,276",11,82.3,0.7,"1,256",9,82.6,0.6,"1,241",10,82.8,0.7
,Uninsured,193,11,11.1,0.6,172,9,10.1,0.5,168,8,10.1,0.5,180,10,11.0,0.6,219,11,13.6,0.7,257,12,16.2,0.8,255,9,16.2,0.6,259,11,16.5,0.7,275,11,17.7,0.7,264,9,17.4,0.6,257,10,17.2,0.7
,Private,"1,208",16,69.7,0.9,"1,184",14,69.8,0.8,"1,166",15,70.1,0.9,"1,136",15,69.6,0.9,"1,103",17,68.4,1.0,"1,059",16,66.5,1.0,"1,044",15,66.3,0.9,"1,048",15,66.9,0.9,"1,047",13,67.4,0.8,"1,033",12,67.9,0.8,"1,056",14,70.5,0.9
,..Employer-based,905,18,52.2,1.0,894,19,52.8,1.1,859,17,51.7,1.0,836,15,51.2,0.9,817,19,50.7,1.2,818,17,51.4,1.1,815,15,51.7,0.9,801,16,51.1,1.0,808,13,52.1,0.9,804,15,52.8,1.0,830,15,55.4,1.0
,..Direct-purchase,309,12,17.8,0.7,288,12,17.0,0.7,319,10,19.2,0.6,306,10,18.8,0.6,289,14,17.9,0.8,250,10,15.7,0.6,271,10,17.2,0.6,267,12,17.1,0.8,257,8,16.6,0.5,258,8,17.0,0.5,272,9,18.2,0.6
,..TRICARE,64,6,3.7,0.3,59,6,3.5,0.4,53,5,3.2,0.3,49,5,3.0,0.3,57,5,3.5,0.3,51,5,3.2,0.3,43,5,2.8,0.3,52,5,3.3,0.3,51,5,3.3,0.3,51,5,3.3,0.3,47,4,3.1,0.3
,Public,563,12,32.5,0.7,567,13,33.5,0.8,543,13,32.6,0.8,529,11,32.4,0.7,496,11,30.8,0.7,473,12,29.7,0.8,466,12,29.6,0.8,446,12,28.5,0.8,418,11,26.9,0.7,400,10,26.3,0.7,369,8,24.6,0.6
,..Medicaid,287,12,16.5,0.7,306,12,18.0,0.7,293,14,17.6,0.8,284,11,17.4,0.7,258,9,16.0,0.6,241,12,15.2,0.8,248,11,15.7,0.7,237,10,15.1,0.7,213,10,13.7,0.6,207,10,13.6,0.7,183,8,12.2,0.5
,..Medicare,314,5,18.1,0.3,295,4,17.4,0.3,283,4,17.0,0.2,273,5,16.8,0.3,260,4,16.1,0.2,250,3,15.7,0.2,242,4,15.3,0.2,230,4,14.7,0.2,223,4,14.4,0.3,208,3,13.7,0.2,200,3,13.3,0.2
,..VA Care,57,4,3.3,0.2,53,4,3.2,0.2,52,4,3.1,0.2,49,3,3.0,0.2,48,3,3.0,0.2,49,4,3.1,0.2,44,3,2.8,0.2,42,3,2.7,0.2,42,3,2.7,0.2,40,2,2.7,0.2,41,3,2.7,0.2
ILLINOIS,Total,"12,564",2,100.0,Z,"12,620",2,100.0,Z,"12,620",1,100.0,Z,"12,680",1,100.0,Z,"12,702",1,100.0,Z,"12,705",1,100.0,Z,"12,698",1,100.0,Z,"12,688",2,100.0,Z,"12,673",2,100.0,Z,"12,720",2,100.0,Z,"12,709",2,100.0,Z
,Any coverage,"11,689",22,93.0,0.2,"11,761",23,93.2,0.2,"11,804",20,93.5,0.2,"11,780",22,92.9,0.2,"11,464",21,90.3,0.2,"11,086",26,87.3,0.2,"11,076",22,87.2,0.2,"11,029",29,86.9,0.2,"10,928",27,86.2,0.2,"11,025",25,86.7,0.2,"11,134",31,87.6,0.2
,Uninsured,875,22,7.0,0.2,859,23,6.8,0.2,817,20,6.5,0.2,900,22,7.1,0.2,"1,238",22,9.7,0.2,"1,618",27,12.7,0.2,"1,622",22,12.8,0.2,"1,659",29,13.1,0.2,"1,746",27,13.8,0.2,"1,694",25,13.3,0.2,"1,575",31,12.4,0.2
,Private,"8,817",37,70.2,0.3,"8,822",49,69.9,0.4,"8,884",40,70.4,0.3,"8,851",45,69.8,0.4,"8,669",38,68.2,0.3,"8,485",41,66.8,0.3,"8,547",38,67.3,0.3,"8,475",45,66.8,0.4,"8,540",39,67.4,0.3,"8,754",42,68.8,0.3,"9,110",42,71.7,0.3
,..Employer-based,"7,455",36,59.3,0.3,"7,404",51,58.7,0.4,"7,382",39,58.5,0.3,"7,359",47,58.0,0.4,"7,284",40,57.3,0.3,"7,241",42,57.0,0.3,"7,364",38,58.0,0.3,"7,325",47,57.7,0.4,"7,324",38,57.8,0.3,"7,560",43,59.4,0.3,"7,894",42,62.1,0.3
,..Direct-purchase,"1,614",23,12.8,0.2,"1,655",21,13.1,0.2,"1,751",24,13.9,0.2,"1,711",24,13.5,0.2,"1,614",23,12.7,0.2,"1,481",21,11.7,0.2,"1,529",22,12.0,0.2,"1,462",26,11.5,0.2,"1,549",27,12.2,0.2,"1,558",26,12.2,0.2,"1,733",28,13.6,0.2
,..TRICARE,142,7,1.1,0.1,143,8,1.1,0.1,139,7,1.1,0.1,151,6,1.2,Z,138,7,1.1,0.1,137,7,1.1,0.1,156,9,1.2,0.1,135,8,1.1,0.1,137,6,1.1,Z,137,7,1.1,0.1,140,7,1.1,0.1
,Public,"4,255",31,33.9,0.2,"4,315",38,34.2,0.3,"4,292",35,34.0,0.3,"4,288",36,33.8,0.3,"4,128",31,32.5,0.2,"3,935",25,31.0,0.2,"3,868",26,30.5,0.2,"3,842",36,30.3,0.3,"3,705",29,29.2,0.2,"3,603",30,28.3,0.2,"3,386",27,26.6,0.2
,..Medicaid,"2,418",29,19.2,0.2,"2,521",38,20.0,0.3,"2,550",34,20.2,0.3,"2,569",37,20.3,0.3,"2,445",31,19.3,0.2,"2,301",28,18.1,0.2,"2,274",25,17.9,0.2,"2,295",33,18.1,0.3,"2,180",30,17.2,0.2,"2,142",30,16.8,0.2,"1,954",26,15.4,0.2
,..Medicare,"2,087",10,16.6,0.1,"2,049",10,16.2,0.1,"1,994",12,15.8,0.1,"1,949",9,15.4,0.1,"1,912",11,15.1,0.1,"1,862",10,14.7,0.1,"1,814",10,14.3,0.1,"1,763",10,13.9,0.1,"1,726",9,13.6,0.1,"1,696",11,13.3,0.1,"1,679",13,13.2,0.1
,..VA Care,216,7,1.7,0.1,210,6,1.7,Z,211,7,1.7,0.1,210,6,1.7,Z,214,7,1.7,0.1,208,6,1.6,0.1,216,7,1.7,0.1,206,8,1.6,0.1,199,6,1.6,Z,211,6,1.7,Z,210,6,1.7,Z
INDIANA,Total,"6,593",1,100.0,Z,"6,568",1,100.0,Z,"6,535",1,100.0,Z,"6,520",1,100.0,Z,"6,498",1,100.0,Z,"6,472",1,100.0,Z,"6,437",1,100.0,Z,"6,418",1,100.0,Z,"6,391",1,100.0,Z,"6,316",2,100.0,Z,"6,271",2,100.0,Z
,Any coverage,"6,047",19,91.7,0.3,"6,032",18,91.8,0.3,"6,005",17,91.9,0.3,"5,893",17,90.4,0.3,"5,722",22,88.1,0.3,"5,569",19,86.0,0.3,"5,517",20,85.7,0.3,"5,487",22,85.5,0.3,"5,444",20,85.2,0.3,"5,415",24,85.7,0.4,"5,432",22,86.6,0.4
,Uninsured,545,19,8.3,0.3,536,18,8.2,0.3,530,17,8.1,0.3,628,17,9.6,0.3,776,22,11.9,0.3,903,19,14.0,0.3,920,20,14.3,0.3,931,22,14.5,0.3,948,20,14.8,0.3,901,24,14.3,0.4,839,23,13.4,0.4
,Private,"4,629",37,70.2,0.6,"4,644",31,70.7,0.5,"4,624",28,70.8,0.4,"4,594",28,70.5,0.4,"4,481",27,69.0,0.4,"4,374",32,67.6,0.5,"4,366",26,67.8,0.4,"4,346",30,67.7,0.5,"4,359",29,68.2,0.5,"4,441",31,70.3,0.5,"4,561",29,72.7,0.5
,..Employer-based,"3,908",35,59.3,0.5,"3,876",33,59.0,0.5,"3,832",30,58.6,0.5,"3,825",28,58.7,0.4,"3,785",28,58.2,0.4,"3,722",31,57.5,0.5,"3,777",27,58.7,0.4,"3,747",30,58.4,0.5,"3,711",30,58.1,0.5,"3,825",35,60.6,0.5,"3,955",29,63.1,0.5
,..Direct-purchase,849,18,12.9,0.3,882,17,13.4,0.3,916,17,14.0,0.3,874,17,13.4,0.3,808,15,12.4,0.2,771,15,11.9,0.2,751,14,11.7,0.2,759,16,11.8,0.3,814,16,12.7,0.2,804,15,12.7,0.2,857,16,13.7,0.2
,..TRICARE,111,7,1.7,0.1,101,7,1.5,0.1,98,7,1.5,0.1,95,6,1.5,0.1,92,7,1.4,0.1,93,7,1.4,0.1,94,6,1.5,0.1,102,7,1.6,0.1,89,6,1.4,0.1,87,6,1.4,0.1,92,6,1.5,0.1
,Public,"2,227",27,33.8,0.4,"2,198",26,33.5,0.4,"2,177",22,33.3,0.3,"2,075",23,31.8,0.3,"1,991",20,30.6,0.3,"1,936",21,29.9,0.3,"1,886",18,29.3,0.3,"1,861",22,29.0,0.3,"1,823",20,28.5,0.3,"1,707",23,27.0,0.4,"1,618",20,25.8,0.3
