"","X1","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"1558",1558,1558,1558,1558,1558,1558,1558,"431318","Bowdle Hospital - Cah","8001 W 5th  Post Office Box 556","Bowdle","SD",57428,"Edmunds","(605) 285-6146","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,NA,NA,"medicare","N"
"1559",1559,1559,1559,1559,1559,1559,1559,"170145","Coffeyville Regional Medical Center, Inc","1400 W 4th St","Coffeyville","KS",67337,"Montgomery","(620) 251-1200","Acute Care Hospitals","Government - Local",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-95.638346,37.040399,"medicare","N"
"1560",1560,1560,1560,1560,1560,1560,1560,"83300","Alfred I Dupont Hospital For Children","1600 Rockland Rd Po Box 269","Wilmington","DE",19899,"New Castle","(302) 651-4000","Childrens","Voluntary non-profit - Private",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-75.555239,39.782337,"medicare","N"
"1561",1561,1561,1561,1561,1561,1561,1561,"50723","Kaiser Foundation Hospital - Baldwin Park","1011 Baldwin Park Blvd","Baldwin Park","CA",91706,"Los Angeles","(626) 851-1011","Acute Care Hospitals","Voluntary non-profit - Other",FALSE,TRUE,"4",17,"Not Available",16,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,"Not Available",5,"Not Available",16,-117.984646,34.064642,"medicare","N"
"1562",1562,1562,1562,1562,1562,1562,1562,"161328","Regional Health Services Of Howard County","235 8th Avenue West","Cresco","IA",52136,"Howard","(563) 547-2101","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,-92.117764,43.381891,"medicare","N"
"1563",1563,1563,1563,1563,1563,1563,1563,"50179","Emanuel Medical Center","825 Delbon Ave","Turlock","CA",95382,"Stanislaus","(209) 667-4200","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"1",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-120.837491,37.510487,"medicare","N"
"1564",1564,1564,1564,1564,1564,1564,1564,"150056","Indiana University Health","1701 N Senate Blvd","Indianapolis","IN",46202,"Marion","(317) 962-5900","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-86.165259,39.790571,"medicare","N"
"1565",1565,1565,1565,1565,1565,1565,1565,"360245","Glenbeigh Health Sources","2863 State Route 45","Rock Creek","OH",44084,"Ashtabula","(440) 563-3400","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,NA,"Not Available",16,"Not Available",16,"Same as the national average",NA,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,-80.856723,41.672446,"medicare","N"
"1566",1566,1566,1566,1566,1566,1566,1566,"44011","Arkansas State Hospital","305 S Palm Street","Little Rock","AR",72205,"Pulaski","(501) 686-9000","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-92.325115,34.751129,"medicare","N"
"1567",1567,1567,1567,1567,1567,1567,1567,"10139","Brookwood Baptist Medical Center","2010 Brookwood Medical Center Drive","Birmingham","AL",35209,"Jefferson","(205) 877-1000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,-86.77685,33.46291,"medicare","N"
"1568",1568,1568,1568,1568,1568,1568,1568,"370149","Ssm Health St Anthony Hospital - Shawnee","1102 W Macarthur","Shawnee","OK",74804,"Pottawatomie","(405) 878-8110","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,-96.937587,35.361768,"medicare","N"
"1569",1569,1569,1569,1569,1569,1569,1569,"290057","Henderson Hospital","1050 West Galleria Drive","Henderson","NV",89011,"Clark","(318) 290-4395","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,NA,NA,"medicare","N"
"1570",1570,1570,1570,1570,1570,1570,1570,"440176","Indian Path Community Hospital","2000 Brookside Dr","Kingsport","TN",37660,"Sullivan","(423) 431-1941","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-82.517916,36.550686,"medicare","N"
"1571",1571,1571,1571,1571,1571,1571,1571,"400013","Hospital Menonita De Cayey","Bo. Rincon Sector Las Lomas  Km.3.1 Carr 14","Cayey","PR",737,"Cayey","(787) 535-1001","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",16,NA,NA,"medicare","N"
"1572",1572,1572,1572,1572,1572,1572,1572,"370183","Hillcrest Hospital Henryetta","2401 W Main","Henryetta","OK",74437,"Okmulgee","(918) 650-1511","Acute Care Hospitals","Proprietary",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,-96.015496,35.439738,"medicare","N"
"1573",1573,1573,1573,1573,1573,1573,1573,"450539","Covenant Hospital Plainview","2601 Dimmitt Rd","Plainview","TX",79072,"Hale","(806) 296-5531","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-101.731626,34.207214,"medicare","N"
"1574",1574,1574,1574,1574,1574,1574,1574,"390185","Lehigh Valley Hospital - Hazleton","700 East Broad Street","Hazleton","PA",18201,"Luzerne","(570) 501-4000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-75.963454,40.950464,"medicare","N"
"1575",1575,1575,1575,1575,1575,1575,1575,"400130","Hospital Metropolitano De La Montana","Calle Isaac Gonzalez Esquina Ledesma","Bda Nueva","PR",641,"Utuado","(787) 933-1100","Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,NA,NA,"medicare","N"
"1576",1576,1576,1576,1576,1576,1576,1576,"50261","Sierra View Medical Center","465 W Putnam Ave","Porterville","CA",93257,"Tulare","(559) 784-1110","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-119.027274,36.069573,"medicare","N"
"1577",1577,1577,1577,1577,1577,1577,1577,"330214","Nyu Langone Hospitals","550 First Avenue","New York","NY",10016,"New York","(212) 263-7300","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.974661,40.74226,"medicare","Y"
"1578",1578,1578,1578,1578,1578,1578,1578,"310083","East Orange General Hospital","300 Central Ave","East Orange","NJ",7018,"Essex","(973) 266-4401","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"1",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-74.213333,40.753707,"medicare","Y"
"1579",1579,1579,1579,1579,1579,1579,1579,"330202","Kings County Hospital Center","451 Clarkson Avenue","Brooklyn","NY",11203,"Kings","(718) 245-3901","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.944039,40.655773,"medicare","Y"
"1580",1580,1580,1580,1580,1580,1580,1580,"31311","Little Colorado Medical Center","1501 North Williamson Avenue","Winslow","AZ",86047,"Navajo","(928) 289-4691","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Not Available",5,"Not Available",16,"Above the national average",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",5,-110.691742,35.035455,"medicare","N"
"1581",1581,1581,1581,1581,1581,1581,1581,"50226","Ahmc Anaheim Regional Medical Center","1111 W La Palma Avenue","Anaheim","CA",92801,"Orange","(714) 774-1450","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-117.933934,33.847138,"medicare","N"
"1582",1582,1582,1582,1582,1582,1582,1582,"60011","Denver Health Medical Center","777 Bannock St","Denver","CO",80204,"Denver","(303) 602-4930","Acute Care Hospitals","Government - State",TRUE,NA,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-104.990066,39.72823,"medicare","N"
"1583",1583,1583,1583,1583,1583,1583,1583,"340064","Wilkes Regional Medical Center","1370 West D St","North Wilkesboro","NC",28659,"Wilkes","(336) 651-8100","Acute Care Hospitals","Government - Local",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-81.157013,36.158465,"medicare","N"
"1584",1584,1584,1584,1584,1584,1584,1584,"420109","Mcleod Health Clarendon","10 East Hospital Street","Manning","SC",29102,"Clarendon","(803) 435-8463","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-80.211767,33.687866,"medicare","N"
"1585",1585,1585,1585,1585,1585,1585,1585,"381321","Grande Ronde Hospital","900 Sunset Drive","La Grande","OR",97850,"Union","(541) 963-8421","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-118.104828,45.319464,"medicare","N"
"1586",1586,1586,1586,1586,1586,1586,1586,"51329","Sutter Lakeside Hospital","5176 Hill Road East","Lakeport","CA",95453,"Lake","(707) 262-5000","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-122.908238,39.105175,"medicare","N"
"1587",1587,1587,1587,1587,1587,1587,1587,"281360","Box Butte General Hospital","P O Box 810, 2101 Box Butte Ave","Alliance","NE",69301,"Box Butte","(308) 762-6660","Critical Access Hospitals","Government - Local",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Not Available",5,NA,NA,"medicare","N"
"1588",1588,1588,1588,1588,1588,1588,1588,"454139","Sun Behavioral Houston","7601 Fannin Street","Houston","TX",77054,"Harris","(713) 795-5025","Psychiatric","Proprietary",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-95.40184,29.692093,"medicare","N"
"1589",1589,1589,1589,1589,1589,1589,1589,"450395","Memorial Medical Center Livingston","1717 Hwy 59 Bypass","Livingston","TX",77351,"Polk","(936) 327-4381","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-95.085743,30.35777,"medicare","N"
"1590",1590,1590,1590,1590,1590,1590,1590,"250094","Merit Health Wesley","5001 W Hardy St","Hattiesburg","MS",39402,"Lamar","(601) 268-8000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-89.3669,31.323058,"medicare","N"
"1591",1591,1591,1591,1591,1591,1591,1591,"330014","Jamaica Hospital Medical Center","89th Avenue And Van Wyck Expressway","Jamaica","NY",11418,"Queens","(718) 262-6000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.816302,40.701412,"medicare","Y"
"1592",1592,1592,1592,1592,1592,1592,1592,"50279","Hi-Desert Medical Center","6601 White Feather Road","Joshua Tree","CA",92252,"San Bernardino","(760) 366-3711","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,NA,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-116.276709,34.132676,"medicare","N"
"1593",1593,1593,1593,1593,1593,1593,1593,"450148","Texas Health Harris Methodist Hospital Cleburne","201 Walls Drive","Cleburne","TX",76033,"Johnson","(817) 641-2551","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-97.439189,32.330845,"medicare","N"
"1594",1594,1594,1594,1594,1594,1594,1594,"321302","Dr Dan C Trigg Memorial Hospital","301 East Miel De Luna Avenue","Tucumcari","NM",88401,"Quay","(575) 461-7007","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,-103.723446,35.156231,"medicare","N"
"1595",1595,1595,1595,1595,1595,1595,1595,"450369","Childress Regional Medical Center","Hwy 83 North","Childress","TX",79201,"Childress","(940) 937-6371","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,NA,NA,"medicare","N"
"1596",1596,1596,1596,1596,1596,1596,1596,"511304","Sistersville General Hospital","314 South Wells Street","Sistersville","WV",26175,"Tyler","(304) 652-2611","Critical Access Hospitals","Government - Local",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,-81.004067,39.558339,"medicare","N"
"1597",1597,1597,1597,1597,1597,1597,1597,"171353","Phillips County Health Systems","1150 State Street","Phillipsburg","KS",67661,"Phillips","(785) 543-5226","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-99.313576,39.755885,"medicare","N"
"1598",1598,1598,1598,1598,1598,1598,1598,"41313","Ozark Health","2500 Highway 65 South","Clinton","AR",72031,"Van Buren","(501) 745-7000","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-92.449913,35.559375,"medicare","N"
"1599",1599,1599,1599,1599,1599,1599,1599,"440011","Blount Memorial Hospital","907 E Lamar Alexander Parkway","Maryville","TN",37804,"Blount","(865) 983-7211","Acute Care Hospitals","Government - Local",TRUE,NA,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-83.958602,35.754975,"medicare","N"
"1600",1600,1600,1600,1600,1600,1600,1600,"70017","Midstate Medical Center","435 Lewis Avenue","Meriden","CT",6450,"New Haven","(203) 694-8200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-72.803878,41.550036,"medicare","Y"
"1601",1601,1601,1601,1601,1601,1601,1601,"10040","Gadsden Regional Medical Center","1007 Goodyear Avenue","Gadsden","AL",35903,"Etowah","(256) 494-4000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,-85.96752,34.009389,"medicare","N"
"1602",1602,1602,1602,1602,1602,1602,1602,"371341","Share Medical Center","800 Share Drive","Alva","OK",73717,"Woods","(580) 327-2800","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,-98.670023,36.786969,"medicare","N"
"1603",1603,1603,1603,1603,1603,1603,1603,"160058","University Of Iowa Hospital & Clinics","200 Hawkins Drive","Iowa City","IA",52242,"Johnson","(319) 356-1616","Acute Care Hospitals","Government - State",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-91.550759,41.661203,"medicare","N"
"1604",1604,1604,1604,1604,1604,1604,1604,"204006","Northern Light Acadia Hospital","268 Stillwater Ave","Bangor","ME",4401,"Penobscot","(207) 973-6100","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-68.762304,44.819969,"medicare","N"
"1605",1605,1605,1605,1605,1605,1605,1605,"140250","Advocate South Suburban Hospital","17800 S Kedzie Ave","Hazel Crest","IL",60429,"Cook","(708) 799-8000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"4",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-87.694399,41.566922,"medicare","N"
"1606",1606,1606,1606,1606,1606,1606,1606,"30037","St Luke's Medical Center","1800 East Van Buren Street","Phoenix","AZ",85006,"Maricopa","(602) 251-8156","Acute Care Hospitals","Proprietary",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-112.042767,33.451436,"medicare","N"
"1607",1607,1607,1607,1607,1607,1607,1607,"190263","Heart Hospital Of Lafayette","1105 Kaliste Saloom Road","Lafayette","LA",70508,"Lafayette","(337) 521-1000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-92.028311,30.174933,"medicare","N"
"1608",1608,1608,1608,1608,1608,1608,1608,"30108","Core Institute Specialty Hospital, The","6501 North 19th Avenue","Phoenix","AZ",85015,"Maricopa","(602) 795-6020","Acute Care Hospitals","Physician",FALSE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",5,-112.099614,33.531837,"medicare","N"
"1609",1609,1609,1609,1609,1609,1609,1609,"511322","Summersville Regional Medical Center","400 Fairview Heights Road","Summersville","WV",26651,"Nicholas","(304) 872-2891","Critical Access Hospitals","Government - Local",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,-80.831136,38.291903,"medicare","N"
"1610",1610,1610,1610,1610,1610,1610,1610,"461301","Fillmore Community Hospital","674 South Highway 99","Fillmore","UT",84631,"Millard","(435) 743-5591","Critical Access Hospitals","Voluntary non-profit - Private",FALSE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-112.339455,38.954161,"medicare","N"
"1611",1611,1611,1611,1611,1611,1611,1611,"371338","Harmon Memorial Hospital","400 East Chestnut Street","Hollis","OK",73550,"Harmon","(580) 688-3363","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",16,-99.914366,34.691537,"medicare","N"
"1612",1612,1612,1612,1612,1612,1612,1612,"294003","Bhc West Hills Hospital","1240 E Ninth St","Reno","NV",89512,"Washoe","(775) 323-0478","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-119.79781,39.538489,"medicare","N"
"1613",1613,1613,1613,1613,1613,1613,1613,"80003","St Francis Hospital","7th And Clayton Sts","Wilmington","DE",19805,"New Castle","(302) 421-4100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,NA,NA,"medicare","N"
"1614",1614,1614,1614,1614,1614,1614,1614,"201300","Northern Light Blue Hill Memorial Hospital","57 Water Street","Blue Hill","ME",4614,"Hancock","(207) 374-2836","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",16,"Above the national average",NA,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,-68.586213,44.41142,"medicare","N"
"1615",1615,1615,1615,1615,1615,1615,1615,"281311","Franklin County Memorial Hospital","1406 Q St","Franklin","NE",68939,"Franklin","(308) 425-6221","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,-98.954353,40.101552,"medicare","N"
"1616",1616,1616,1616,1616,1616,1616,1616,"231339","Spectrum Health Pennock","1009 W Green St","Hastings","MI",49058,"Barry","(269) 945-3451","Critical Access Hospitals","Voluntary non-profit - Other",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,-85.3021,42.6442,"medicare","N"
"1617",1617,1617,1617,1617,1617,1617,1617,"330232","Samaritan Hospital-St Mary's Campus","1300 Massachusetts Avenue","Troy","NY",12180,"Rensselaer","(518) 268-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,-73.676415,42.743977,"medicare","N"
"1618",1618,1618,1618,1618,1618,1618,1618,"464012","Marian Center","451 East Bishop Federal Lane","Salt Lake City","UT",84115,"Salt Lake","(801) 468-6856","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-111.877569,40.728009,"medicare","N"
"1619",1619,1619,1619,1619,1619,1619,1619,"420019","Musc Health Chester Medical Center","1 Medical Park Drive","Chester","SC",29706,"Chester","(803) 581-3151","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,"Same as the national average",NA,"Not Available",5,-81.184551,34.683429,"medicare","N"
"1620",1620,1620,1620,1620,1620,1620,1620,"451333","Martin County Hospital District","600 E Interstate 20     Po Box 640","Stanton","TX",79782,"Martin","(432) 756-3345","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,NA,NA,"medicare","N"
"1621",1621,1621,1621,1621,1621,1621,1621,"241354","Tri County Hospital","415 Jefferson Street North","Wadena","MN",56482,"Wadena","(218) 631-3510","Critical Access Hospitals","Voluntary non-profit - Other",TRUE,NA,"4",NA,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Not Available",5,-95.132748,46.446565,"medicare","N"
"1622",1622,1622,1622,1622,1622,1622,1622,"363300","Cincinnati Children's Hospital Medical Center","3333 Burnet Avenue","Cincinnati","OH",45229,"Hamilton","(513) 636-3333","Childrens","Voluntary non-profit - Private",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-84.500392,39.140947,"medicare","N"
"1623",1623,1623,1623,1623,1623,1623,1623,"330153","Ellis Hospital","1101 Nott Street","Schenectady","NY",12308,"Schenectady","(518) 243-4000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-73.918883,42.819818,"medicare","N"
"1624",1624,1624,1624,1624,1624,1624,1624,"231319","Aspirus Keweenaw Hospital","205 Osceola","Laurium","MI",49913,"Houghton","(906) 337-6500","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-88.444038,47.237538,"medicare","N"
