OBJECTID,STATE,LEVEL_,DEFINITION,SOURCE,SOURCEDATE
101,MO,LEVEL I,"Level I Centers function as resource center within a region, for example maintaining specialized resources for the most complex patients.",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2019-05-16T00:00:00.000Z
102,MO,LEVEL I PEDIATRIC,"Level I Centers function as resource center within a region, for example maintaining specialized resources for the most complex pediatric patients.",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2019-05-16T00:00:00.000Z
103,MO,LEVEL II,"Level II Centers generally provide definitive care to high volumes of trauma, stroke and STEMI patients within a region.",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2019-05-16T00:00:00.000Z
104,MO,LEVEL III,"Level III Centers play an important role in providing access into the system and important patient care in non-metropolitan areas, and generally refer to a higher level center for definitive care.",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2019-05-16T00:00:00.000Z
105,MO,LEVEL IV,"Level IV Centers, a key entry point into the system, provide access into the system in rural areas and stabilize and prepare patients for rapid transfer to a higher level of care.",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2019-05-16T00:00:00.000Z
106,MS,LEVEL I,"Level I trauma centers act as regional tertiary care facilities at the hub of the trauma care system. These facilities must have the ability to provide leadership and total care for every aspect of injury from prevention to rehabilitation. As a tertiary facility, the Level I trauma center must have adequate depth of resources and personnel. These centers also have the responsibility of providing leadership in education, trauma prevention, research and system planning.","https://msdh.ms.gov/msdhsite/_static/49,0,325,401.html",2019-05-16T00:00:00.000Z
107,MS,LEVEL II,"A Level II trauma center is an acute care facility with the commitment, resources and specialty training necessary to provide sophisticated trauma care.","https://msdh.ms.gov/msdhsite/_static/49,0,325,401.html",2019-05-16T00:00:00.000Z
108,MS,LEVEL III,"A Level III trauma center is an acute care facility with the commitment, medical staff, personnel and specialty training necessary to provide initial resuscitation of the trauma patient. Generally, a Level III trauma center is expected to provide initial resuscitation of the trauma patient and immediate operative intervention to control hemorrhage and to assure maximal stabilization prior to referral to a higher level of care. In many instances, patients will remain in the Level III trauma center unless the medical needs of the patient require secondary transfer. The decision to transfer a patient rests with the physician attending the trauma patient. All Level III trauma centers will work collaboratively with other trauma facilities to develop transfer protocols and a well-defined transfer sequence.","https://msdh.ms.gov/msdhsite/_static/49,0,325,401.html",2019-05-16T00:00:00.000Z
109,MS,LEVEL IV,"Level IV trauma centers are generally licensed, small, rural facilities with a commitment to the resuscitation of the trauma patient and written transfer protocols in place to assure those patients who require a higher level of care are appropriately transferred. These facilities may be staffed by a physician, or a licensed midlevel practitioner (i.e. advanced practice nurse) or Registered Nurse. The major trauma patient will be resuscitated and transferred. This categorization does not contemplate that Level IV hospitals will have resources available for emergency surgery for the trauma patient.","https://msdh.ms.gov/msdhsite/_static/49,0,325,401.html",2019-05-16T00:00:00.000Z
110,MS,NOT DESIGNATED,Not designated.,"https://msdh.ms.gov/msdhsite/_static/49,0,325,401.html",2019-05-16T00:00:00.000Z
111,MT,RTC,Regional Trauma Centers (RTC) - Capable of providing advanced trauma care for a region.,https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2019-05-16T00:00:00.000Z
112,MT,ATH,Area Trauma Hospital (ATH) - Capable of handling most trauma patients within their service area.,https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2019-05-16T00:00:00.000Z
113,MT,CTH,Community Trauma Facility (CTF) - Able to provide limited emergency and surgical coverage.,https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2019-05-16T00:00:00.000Z
114,MT,TRF,Trauma Receiving Facility (TRF) - Able to provide limited emergency care with no surgical coverage.,https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2019-05-16T00:00:00.000Z
115,NC,LEVEL I,"Center that has the capability of providing leadership, research, and total care for every aspect of injury from prevention to rehabilitation.",https://www2.ncdhhs.gov/dhsr/EMS/trauma/guidelines.html,2019-05-16T00:00:00.000Z
116,NC,LEVEL II,Center that provides trauma care regardless of the severity of the injury but may not be able to provide the same comprehensive care as a Level I trauma center and does not have trauma research as a primary objective.,https://www2.ncdhhs.gov/dhsr/EMS/trauma/guidelines.html,2019-05-16T00:00:00.000Z
117,NC,LEVEL III,"Center that provides prompt assessment, resuscitation, emergency operations, and stabilization, and arranges for hospital transfer as needed to a Level I or II trauma center.",https://www2.ncdhhs.gov/dhsr/EMS/trauma/guidelines.html,2019-05-16T00:00:00.000Z
118,ND,LEVEL I,"A Level I Trauma Center provides the highest level of surgical care to trauma patients with requirements for various surgical specialists to be available 24 hours a day. There are requirements for minimum annual volumes of severely injured patients. Additionally, a Level I center has research requirements related to trauma and is a leader in trauma education, injury prevention, and is a referral resource for communities in nearby regions.  Verified by ACS.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2019-05-16T00:00:00.000Z
119,ND,LEVEL II,"The Level II facilities in our state function at nearly the same level as a Level I facility. They attempt to assure 24 hours a day coverage of the various surgical specialists. They perform rigorous performance improvement, community education and injury prevention services. Level II Trauma Medical Directors and Coordinators within North Dakota help in the designation process for the Level IV and V facilities in the state, and providing follow-up on patient care outcomes.  Verified by ACS",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2019-05-16T00:00:00.000Z
120,ND,LEVEL III,"Level III facilities do not have the full availability of physician specialists available at a Level I or II facility, but do have resources for emergency resuscitation, surgery and intensive care of most trauma patients. The same care, equipment, data entry and performance improvement requirements remain as in Level IV and V. Verified by ACS.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2019-05-16T00:00:00.000Z
121,ND,LEVEL IV,"Level IV facilities are held to the same standards as Level V, and additionally are required to have a physician rather than a physicianâ€™s assistant or nurse practitioner available 24 hours a day to care for the injured patient.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2019-05-16T00:00:00.000Z
122,ND,LEVEL V,"A Level V facility must provide evaluation, stabilization and appropriate diagnostics for each trauma patient presenting to their emergency room. When appropriate, these patients must be transferred to a higher level of care. The facility must meet specific equipment requirements. Data from each of their trauma patients must be entered into the trauma registry for statistical analysis. The patient records are audited and reviewed to assure that quality patient care is given to every trauma patient. An ATLS certified physician, physicianâ€™s assistant or nurse practitioner must be available 24 hours a day to care for injured patients.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2019-05-16T00:00:00.000Z
123,NE,LEVEL I,"Comprehensive trauma center. Verified by ACS as Level I. Has the ability to provide highest level of definitive, comprehensive care for patients with complex traumatic injury.  All severely or multi-system injured patients must be admitted to or seen by a designated trauma service with identifiable trauma specialists directing the service and other affiliated health care personnel assigned to that service.",http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/Health_and_Human_Services_System/Title-185/Title-185.pdf,2019-05-16T00:00:00.000Z
124,NE,LEVEL II,Advanced trauma center. Verified by ACS as Level II. Has the ability to provide definitive care for patients with complex and severe trauma.  All severely or multi-system injured patients must be admitted to or seen by a designated trauma service with identifiable truma specialists directing the service and other affiliated health care personnel assigned to that service.,http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/Health_and_Human_Services_System/Title-185/Title-185.pdf,2019-05-16T00:00:00.000Z
125,NE,LEVEL III,"General trauma center. Verified by ACS as Level III.  Has the ability to provide initial evaluation and stabilization, inpatient services to stable patients, and transfer patients as required.  All severly or multi-system injured patients may be admitted to individual surgeons, but the structure of the program must allow the trauma director to have oversight authority for the care of those injured patients.",http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/Health_and_Human_Services_System/Title-185/Title-185.pdf,2019-05-16T00:00:00.000Z
126,NE,LEVEL IV,"Basic trauma center. Verified by ACS as Level IV.  Has the abililty to provide initial resuscitation, stabilization, and transfer of patients as required.",http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/Health_and_Human_Services_System/Title-185/Title-185.pdf,2019-05-16T00:00:00.000Z
127,NE,LEVEL II PEDIATRIC,Advanced trauma center. Verified by ACS as Level II. Has the ability to provide definitive care for pediatric patients with complex and severe trauma.  All severely or multi-system injured patients must be admitted to or seen by a designated trauma service with identifiable truma specialists directing the service and other affiliated health care personnel assigned to that service.,http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/Health_and_Human_Services_System/Title-185/Title-185.pdf,2019-05-16T00:00:00.000Z
128,NH,LEVEL I,"Provides the highest level of care for patients with complex traumatic injuries that present directly to the hospital's emergency department or by interfacility transfer. The hospital is a regional resource that treats a significant number of seriously injured patients and is responsible for outreach, accredited education and is committed to research in trauma management.",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2019-05-16T00:00:00.000Z
129,NH,LEVEL II,"Has the resources to provide a high level of care for patients with complex injuries. The hospital has essentially all the surgical specialty providers as a Level I, on-call and promptly available 24/7. A Level II provides definitive care on a regional basis for complex trauma patients, but transfers the most specialized of trauma patients to a Level I or specialty facility (i.e. burn center).",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2019-05-16T00:00:00.000Z
130,NH,LEVEL III,"Provides trauma care for a local catchment area. Depending on the hospitalâ€™s resources (such as neurosurgery) some Level III trauma hospitals are able to care for complex trauma patients, but the expectation of most Level III facilities for major trauma patients is stabilization and prompt transfer to a Level I trauma hospital.",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2019-05-16T00:00:00.000Z
131,NH,LEVEL IV,"A hospital that provides 24-hour emergency services. This level of trauma hospital is expected to resuscitate, stabilize, and transfer major trauma patients to a higher level facility. This facility will admit only those patients who are determined to have injuries that do not meet criteria for transfer.",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2019-05-16T00:00:00.000Z
132,NJ,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.state.nj.us/health/ems/,2019-05-16T00:00:00.000Z
133,NJ,LEVEL II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.state.nj.us/health/ems/,2019-05-16T00:00:00.000Z
134,NJ,LEVEL I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.state.nj.us/health/ems/,2019-05-16T00:00:00.000Z
135,NJ,LEVEL II PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.state.nj.us/health/ems/,2019-05-16T00:00:00.000Z
136,NM,LEVEL I,"Has 24/7 trauma and specialty care available for all services, participates in clinical research on trauma care and has residents training in trauma.",https://nmhealth.org/publication/view/general/1988/,2019-05-16T00:00:00.000Z
137,NM,LEVEL II,Has 24/7 trauma and specialty care available for all services.,https://nmhealth.org/publication/view/general/1988/,2019-05-16T00:00:00.000Z
138,NM,LEVEL III,Has 24/7 trauma and some specialty care services available.,https://nmhealth.org/publication/view/general/1988/,2019-05-16T00:00:00.000Z
139,NM,LEVEL IV,Has an Emergency Department with trauma team activation and can rapidly facilitate transport to a higher level of care if necessary,https://nmhealth.org/publication/view/general/1988/,2019-05-16T00:00:00.000Z
140,NV,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,2019-05-16T00:00:00.000Z
141,NV,LEVEL II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,2019-05-16T00:00:00.000Z
142,NY,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.health.ny.gov/professionals/ems/state_trauma/trauma2.htm,2019-05-16T00:00:00.000Z
143,NY,LEVEL II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.health.ny.gov/professionals/ems/state_trauma/trauma2.htm,2019-05-16T00:00:00.000Z
144,NY,LEVEL III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.health.ny.gov/professionals/ems/state_trauma/trauma2.htm,2019-05-16T00:00:00.000Z
145,NY,LEVEL I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.health.ny.gov/professionals/ems/state_trauma/trauma2.htm,2019-05-16T00:00:00.000Z
146,NY,LEVEL II PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://www.health.ny.gov/professionals/ems/state_trauma/trauma2.htm,2019-05-16T00:00:00.000Z
147,NY,REGIONAL,"A regional trauma center is a facility with the ability to provide definitive treatment to the full-range of trauma patients including a commitment to trauma research and education. Such a facility has 24-hour availability of specialists in varied surgical and non-surgical fields. A regional trauma center is capable of treating 1,000 severely injured patients per year. The minimum number of severely injured patients treated at a regional trauma center is 400 patients per year.",https://www.health.ny.gov/professionals/ems/state_trauma/docs/traumastds7082.pdf,2019-05-16T00:00:00.000Z
148,NY,AREA,"An area trauma center is a facility capable of providing definitive treatment to most trauma patients. Such a facility has emergency medicine specialists and general surgeons available 24-hours a day; other medical specialists are available on an """"on-call basis."""" The minimum number of severely injured patients treated at an area trauma center is 250 patients per year.",https://www.health.ny.gov/professionals/ems/state_trauma/docs/traumastds7082.pdf,2019-05-16T00:00:00.000Z
149,OH,LEVEL I,"Regional Level. Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",http://codes.ohio.gov/orc/3727.101,2019-05-16T00:00:00.000Z
150,OH,LEVEL II,"Area Level. A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://codes.ohio.gov/orc/3727.102,2019-05-16T00:00:00.000Z
151,OH,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://codes.ohio.gov/orc/3727.103,2019-05-16T00:00:00.000Z
152,OH,LEVEL I PEDIATRIC,"Regional Level. Level I Pediatric Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",http://codes.ohio.gov/orc/3727.104,2019-05-16T00:00:00.000Z
153,OH,LEVEL II PEDIATRIC,"A Level II Pediatric Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://codes.ohio.gov/orc/3727.105,2019-05-16T00:00:00.000Z
154,OK,LEVEL I,"This is the highest level of trauma center. A Level I Trauma Center has an emergency department staffed with emergency physicians and nurses, and maintains a surgeon-led trauma team with rigorous response standards and the capability of rapid surgical intervention when necessary. Comprehensive specialty services are available including but not limited to neurological, cardiovascular and orthopedic surgery. There is a hospital wide commitment with immediate access to surgery, recovery and critical care beds. In addition this level of trauma center provides research and education activities.",https://www.ok.gov/health2/documents/2011%20Trauma%20Triage%20Training%20OSDH-OTEP.pdf,2019-05-16T00:00:00.000Z
155,OK,LEVEL II,A Level II Trauma Center has the same resources and clinical capabilities of a Level I and is staffed to provide prompt and comprehensive care to seriously injured patients. A Level II like a Level I functions as a tertiary referral facility capable of managing all types of injured patients. Unlike a Level I a Level II will not provide the same level of research or education activities,https://www.ok.gov/health2/documents/2011%20Trauma%20Triage%20Training%20OSDH-OTEP.pdf,2019-05-16T00:00:00.000Z
156,OK,LEVEL III,"A Level III Trauma Center is a facility which staffs a 24 hr. emergency department with at least a physician and nursing staff and has general surgical and some surgical subspecialties, such as orthopedics, on an on-call basis. Prompt anesthesia and operating room capabilities are required in addition to X-ray, laboratory services, recovery room and intensive care beds. This is an intermediate facility capable of handling minor to moderate trauma. A Level III Trauma Center can function as an enhanced trauma center on days when additional on-call resources, such as neurosurgery, are available in addition to general surgery and orthopedics. An enhanced Level III is referred to as a regional trauma center in this document as well as the prehospital trauma triage reference manual. This information is tracked through EMResources",https://www.ok.gov/health2/documents/2011%20Trauma%20Triage%20Training%20OSDH-OTEP.pdf,2019-05-16T00:00:00.000Z
157,OK,LEVEL IV,"A facility that staffs a 24 hr. emergency department with at least one of the following: Physician Assistant (licensed) ,Nurse Practitioner .Registered Nurse ,Paramedic (with special trauma training as defined by that facility).",https://www.ok.gov/health2/documents/2011%20Trauma%20Triage%20Training%20OSDH-OTEP.pdf,2019-05-16T00:00:00.000Z
158,OK,LEVEL I PEDIATRIC,"This is the highest level of pediatric trauma center. A Level I Trauma Center has an emergency department staffed with emergency physicians and nurses, and maintains a surgeon-led trauma team with rigorous response standards and the capability of rapid surgical intervention when necessary. Comprehensive specialty services are available including but not limited to neurological, cardiovascular and orthopedic surgery. There is a hospital wide commitment with immediate access to surgery, recovery and critical care beds. In addition this level of trauma center provides research and education activities.",https://www.ok.gov/health2/documents/2011%20Trauma%20Triage%20Training%20OSDH-OTEP.pdf,2019-05-16T00:00:00.000Z
159,OR,LEVEL I,"The role of theLevel I trauma centeris to provide the highest level of definitive, comprehensive care for the severely injured adult and pediatric patient with complex, multi-system trauma. A Level I facility is the regional resource trauma center in the system and has the capability of providing total patient care for every aspect of injury from prevention through rehabilitation. Highly specialized care for pediatric trauma, burns, spinal cord injury, eye injury, limb reimplantation, and other clinical problems is available at the Level I center. An emergency physician, general surgeon, anesthesiologist, and nursing and ancillary personnel who can initiate immediate surgery are in-house and available to the patient upon arrival to the emergency department. A neurosurgeon is on-call and promptly available to the patient. A broad range of sub-specialists are on-call and promptly available to provide consultation or care. In addition to direct patient care, Level I trauma centers are responsible for resident training, research, regional quality improvement, community education, outreach, and injury prevention.",https://public.health.oregon.gov/ProviderPartnerResources/EMSTraumaSystems/TraumaSystems/Pages/desiglvl.aspx,2019-05-16T00:00:00.000Z
160,OR,LEVEL II,"The role of theLevel II trauma centeris to provide definitive care for severely injured adult and pediatric patients with complex trauma. The services available at a Level II trauma facility and the resource requirements are similar to those at a Level I trauma center. Physicians who are ATLS trained and experienced in caring for traumatically injured patients, nurses, and ancillary staff are in-house and immediately available to initiate resuscitative measures. A board certified general surgeon and anesthesiologist are on-call and available to the patient. A neurosurgeon is on-call and promptly available. There is a broad range of specialists available for consultation or care, and comprehensive diagnostic capabilities and supportive equipment are available. Level II trauma centers serve as regional resource centers for definitive care, quality assurance, community education, outreach, and injury prevention.",https://public.health.oregon.gov/ProviderPartnerResources/EMSTraumaSystems/TraumaSystems/Pages/desiglvl.aspx,2019-05-16T00:00:00.000Z
161,OR,LEVEL III,"The role of theLevel III trauma centeris to provide initial evaluation and stabilization, including surgical intervention, of the severely injured adult or pediatric patient. A Level III trauma center provides comprehensive inpatient services to those patients who can be maintained in a stable or improving condition without specialized care. Critically injured patients who require specialty care are transferred to a higher level trauma system hospital in accordance with criteria established in the Area Trauma Plan. An in-house multidisciplinary trauma resuscitation team is immediately available upon arrival of the patient to the emergency department. A board certified general surgeon trained in ATLS is on-call and available to the patient. Level III trauma centers also provide community education, outreach, and injury prevention programs",https://public.health.oregon.gov/ProviderPartnerResources/EMSTraumaSystems/TraumaSystems/Pages/desiglvl.aspx,2019-05-16T00:00:00.000Z
162,OR,LEVEL IV,"The role of theLevel IV trauma centeris to provide resuscitation and stabilization of the severely injured adult or pediatric patient prior to transferring the patient to a higher level trauma system hospital. Resuscitation and stabilization may involve surgical intervention. Trauma trained nursing personnel are immediately available to initiate life-saving maneuvers. Physicians trained in ATLS are promptly available to provide patient resuscitation, and in most cases are present upon patient arrival to the hospital. Ancillary personnel are also in-house or promptly available at all hours of the day. Level IV trauma centers have all of the appropriate equipment and diagnostic capabilities to resuscitate the severely injured patient. Most Level IV trauma facilities provide community education, outreach, and injury prevention resources.",https://public.health.oregon.gov/ProviderPartnerResources/EMSTraumaSystems/TraumaSystems/Pages/desiglvl.aspx,2019-05-16T00:00:00.000Z
163,PA,LEVEL I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.ptsf.org/index.php/our-trauma-centers/center-standards,2019-05-16T00:00:00.000Z
164,PA,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.ptsf.org/index.php/our-trauma-centers/center-standards,2019-05-16T00:00:00.000Z
165,PA,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.ptsf.org/index.php/our-trauma-centers/center-standards,2019-05-16T00:00:00.000Z
166,PA,LEVEL IV,Level IV Trauma Centers are small rural facilities that provide initial evaluation and assessment of injured patients prior to transfer to a larger referral facility.,http://www.ptsf.org/index.php/our-trauma-centers/center-standards,2019-05-16T00:00:00.000Z
167,PA,LEVEL I PEDIATRIC,"Level I Pediatric Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.ptsf.org/index.php/our-trauma-centers/center-standards,2019-05-16T00:00:00.000Z
168,RI,LEVEL I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.health.ri.gov/licenses/detail.php?id=207,2019-05-16T00:00:00.000Z
169,SC,LEVEL I,"Level I trauma center is regional resource trauma center that is tertiary care facility with capability of providing leadership; education, research, system planning, and total care for every aspect of injury, from prevention through rehabilitation. In its central role, the Level I center has adequate depth of resources and personnel. Medical education programs include residency program support and postgraduate training in trauma.",http://sc-trauma.org/South%20Carolina%20Trauma%20Registry%20Data%20Dictionary%20052009.pdf,2019-05-16T00:00:00.000Z
170,SC,LEVEL II,"Level II trauma center is a hospital that is also expected to provide initial definitive trauma care, regardless of the severity of injury. Depending on geographic location, patient volume, personnel, and resources, a Level II trauma center may not be able to provide the same comprehensive care as a Level I trauma center. Therefore, patients with more complex injuries may require transfer to a Level I center.",http://sc-trauma.org/South%20Carolina%20Trauma%20Registry%20Data%20Dictionary%20052009.pdf,2019-05-16T00:00:00.000Z
171,SC,LEVEL III,"Level III trauma center serves communities that do not have immediate access to a Level I or II facility. The Level III trauma center can provide prompt assessment, resuscitation, emergency procedures, and stabilization and arrange for transfer to a higher-level facility that can provide definitive trauma care.",http://sc-trauma.org/South%20Carolina%20Trauma%20Registry%20Data%20Dictionary%20052009.pdf,2019-05-16T00:00:00.000Z
172,SD,RTH,"Regional Trauma Hospital.  Verified ACS Level II.   Trauma surgeon at all trauma team activations, neurosurgery continuously and promptly available",https://doh.sd.gov/providers/ruralhealth/trauma/designations.aspx,2019-05-16T00:00:00.000Z
173,SD,ATH,Area Trauma Hospital. Verified ACS Level III. Continuous surgical coverage of emergency department. 24/7 in-house physician coverage of emergency department. Orthopedic surgery on-call 24/7.,https://doh.sd.gov/providers/ruralhealth/trauma/designations.aspx,2019-05-16T00:00:00.000Z
174,SD,CTH,"Community Trauma Hospital. Surgical coverage of emergency department for all trauma team activations 80% of calendar year, minimum. Trauma transfer guidelines in place when surgery not available. 24/7 physician coverage of emergency department",https://doh.sd.gov/providers/ruralhealth/trauma/designations.aspx,2019-05-16T00:00:00.000Z
175,SD,TRH,"Trauma Receiving Hospital. 24/7 emergency department coverage by physician, physician assistant or nurse practitioner. No surgical services required",https://doh.sd.gov/providers/ruralhealth/trauma/designations.aspx,2019-05-16T00:00:00.000Z
176,TN,LEVEL I,"Regional Level. Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education.",https://www.tn.gov/health/health-program-areas/health-professional-boards/ems-board/ems-board/trauma.html,2019-05-16T00:00:00.000Z
177,TN,LEVEL II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",https://www.tn.gov/health/health-program-areas/health-professional-boards/ems-board/ems-board/trauma.html,2019-05-16T00:00:00.000Z
178,TN,LEVEL III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",https://www.tn.gov/health/health-program-areas/health-professional-boards/ems-board/ems-board/trauma.html,2019-05-16T00:00:00.000Z
179,TX,LEVEL I,"Level I or Level II: if the facility has full-time* general surgery, neuro surgery, and orthopedic surgery capabilities",http://www.dshs.texas.gov/emstraumasystems/spolicy.shtm,2019-05-16T00:00:00.000Z
180,TX,LEVEL II,"Level I or Level II: if the facility has full-time* general surgery, neuro surgery, and orthopedic surgery capabilities.",http://www.dshs.texas.gov/emstraumasystems/spolicy.shtm,2019-05-16T00:00:00.000Z
181,TX,LEVEL III,"Level III: if the facility has full-time* general surgery and orthopedic capabilities, but does not have full-time neurosurgery capability.",https://www.dshs.state.tx.us/emstraumasystems/spolicy.shtm,2019-05-16T00:00:00.000Z
182,TX,LEVEL IV,Level IV: all others,https://www.dshs.state.tx.us/emstraumasystems/spolicy.shtm,2019-05-16T00:00:00.000Z
183,UT,LEVEL I,"Comprehensive tertiary care. Minimum of 1,200 trauma patients per year.",https://bemsp.utah.gov/bemsp/wp-content/uploads/sites/34/2016/05/utr_2013.pdf,2019-05-16T00:00:00.000Z
184,UT,LEVEL II,Comprehensive trauma care. Lead trauma facility to other hospitals in service area.,https://bemsp.utah.gov/bemsp/wp-content/uploads/sites/34/2016/05/utr_2013.pdf,2019-05-16T00:00:00.000Z
185,UT,LEVEL III,Community hospital with capabilities to provide some operative intervention to the trauma patient.,https://bemsp.utah.gov/bemsp/wp-content/uploads/sites/34/2016/05/utr_2013.pdf,2019-05-16T00:00:00.000Z
186,UT,LEVEL IV,"Initial resuscitation, stabilization, and transfer to a higher level of care",https://bemsp.utah.gov/bemsp/wp-content/uploads/sites/34/2016/05/utr_2013.pdf,2019-05-16T00:00:00.000Z
187,UT,LEVEL V,"Initial resuscitation, stabilization and transfer to a higher level of care.",https://bemsp.utah.gov/bemsp/wp-content/uploads/sites/34/2016/05/utr_2013.pdf,2019-05-16T00:00:00.000Z
188,VA,LEVEL I,"Level I trauma centers have an organized trauma response and are required to provide total care for every aspect of injury, from prevention through rehabilitation. These facilities must have adequate depth of resources and personnel with the capability of providing leadership, education, research, and system planning.",http://www.vdh.virginia.gov/content/uploads/sites/23/2016/06/TraumaDesignationManual-1.pdf,2019-05-16T00:00:00.000Z
189,VA,LEVEL II,"Level II trauma centers have an organized trauma response and are also expected to provide initial definitive care, regardless of the severity of injury. The specialty requirements may be fulfilled by on call staff, that are promptly available to the patient. Due to limited resources, Level II centers may have to transfer more complex injuries to a Level I center. Level II centers should also take on responsibility for education and system leadership within their region.",http://www.vdh.virginia.gov/content/uploads/sites/23/2016/06/TraumaDesignationManual-1.pdf,2019-05-16T00:00:00.000Z
